instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,delta temp,> avg temp,hum,windspeed,casual,registered,cnt,Casual Percent,Casual > 30%
1,1/1/11,1,0,1,0,6,0,2,0.344167,0.363625,-0.019458,FALSE,0.805833,0.160446,331,654,985,0.336040609,TRUE
2,1/2/11,1,0,1,0,0,0,2,0.363478,0.353739,0.009739,TRUE,0.696087,0.248539,131,670,801,0.163545568,FALSE
3,1/3/11,1,0,1,0,1,1,1,0.196364,0.189405,0.006959,TRUE,0.437273,0.248309,120,1229,1349,0.088954781,FALSE
4,1/4/11,1,0,1,0,2,1,1,0.2,0.212122,-0.012122,FALSE,0.590435,0.160296,108,1454,1562,0.069142125,FALSE
5,1/5/11,1,0,1,0,3,1,1,0.226957,0.22927,-0.002313,FALSE,0.436957,0.1869,82,1518,1600,0.05125,FALSE
6,1/6/11,1,0,1,0,4,1,1,0.204348,0.233209,-0.028861,FALSE,0.518261,0.0895652,88,1518,1606,0.054794521,FALSE
7,1/7/11,1,0,1,0,5,1,2,0.196522,0.208839,-0.012317,FALSE,0.498696,0.168726,148,1362,1510,0.098013245,FALSE
8,1/8/11,1,0,1,0,6,0,2,0.165,0.162254,0.002746,TRUE,0.535833,0.266804,68,891,959,0.070907195,FALSE
9,1/9/11,1,0,1,0,0,0,1,0.138333,0.116175,0.022158,TRUE,0.434167,0.36195,54,768,822,0.065693431,FALSE
10,1/10/11,1,0,1,0,1,1,1,0.150833,0.150888,-5.5E-05,FALSE,0.482917,0.223267,41,1280,1321,0.031037093,FALSE
11,1/11/11,1,0,1,0,2,1,2,0.169091,0.191464,-0.022373,FALSE,0.686364,0.122132,43,1220,1263,0.034045922,FALSE
12,1/12/11,1,0,1,0,3,1,1,0.172727,0.160473,0.012254,TRUE,0.599545,0.304627,25,1137,1162,0.02151463,FALSE
13,1/13/11,1,0,1,0,4,1,1,0.165,0.150883,0.014117,TRUE,0.470417,0.301,38,1368,1406,0.027027027,FALSE
14,1/14/11,1,0,1,0,5,1,1,0.16087,0.188413,-0.027543,FALSE,0.537826,0.126548,54,1367,1421,0.038001407,FALSE
15,1/15/11,1,0,1,0,6,0,2,0.233333,0.248112,-0.014779,FALSE,0.49875,0.157963,222,1026,1248,0.177884615,FALSE
16,1/16/11,1,0,1,0,0,0,1,0.231667,0.234217,-0.00255,FALSE,0.48375,0.188433,251,953,1204,0.208471761,FALSE
17,1/17/11,1,0,1,1,1,0,2,0.175833,0.176771,-0.000938,FALSE,0.5375,0.194017,117,883,1000,0.117,FALSE
18,1/18/11,1,0,1,0,2,1,2,0.216667,0.232333,-0.015666,FALSE,0.861667,0.146775,9,674,683,0.01317716,FALSE
19,1/19/11,1,0,1,0,3,1,2,0.292174,0.298422,-0.006248,FALSE,0.741739,0.208317,78,1572,1650,0.047272727,FALSE
20,1/20/11,1,0,1,0,4,1,2,0.261667,0.25505,0.006617,TRUE,0.538333,0.195904,83,1844,1927,0.043072133,FALSE
