Wife Age,Wife Education,Husband Edu,Children,More than 2,#Children born,Wife Islamic,Wife Working,Husband Occupation,Std living,Media Exposure,Contraceptive Used,Active Use
24,2,3,FALSE,TRUE,3,1,1,2,3,0,1,FALSE
45,1,3,FALSE,TRUE,10,1,1,3,4,0,1,FALSE
43,2,3,FALSE,TRUE,7,1,1,3,4,0,1,FALSE
42,3,2,FALSE,TRUE,9,1,1,3,3,0,1,FALSE
36,3,3,FALSE,TRUE,8,1,1,3,2,0,1,FALSE
19,4,4,TRUE,FALSE,0,1,1,3,3,0,1,FALSE
38,2,3,FALSE,TRUE,6,1,1,3,2,0,1,FALSE
21,3,3,FALSE,FALSE,1,1,0,3,2,0,1,FALSE
27,2,3,FALSE,TRUE,3,1,1,3,4,0,1,FALSE
45,1,1,FALSE,TRUE,8,1,1,2,2,1,1,FALSE
38,1,3,FALSE,FALSE,2,1,0,3,3,1,1,FALSE
42,1,4,FALSE,TRUE,4,1,1,1,3,0,1,FALSE
44,4,4,FALSE,FALSE,1,1,0,1,4,0,1,FALSE
42,2,4,FALSE,FALSE,1,1,0,3,3,0,1,FALSE
38,3,4,FALSE,FALSE,2,1,1,2,3,0,1,FALSE
26,2,4,TRUE,FALSE,0,1,1,4,1,0,1,FALSE
48,1,1,FALSE,TRUE,7,1,1,2,4,0,1,FALSE
39,2,2,FALSE,TRUE,6,1,1,2,4,0,1,FALSE
37,2,2,FALSE,TRUE,8,1,1,2,3,0,1,FALSE
39,2,1,FALSE,TRUE,5,1,1,2,1,1,1,FALSE
26,3,4,FALSE,FALSE,1,1,0,4,1,0,1,FALSE
24,3,4,TRUE,FALSE,0,1,0,3,1,0,1,FALSE
46,4,4,FALSE,FALSE,1,0,1,1,4,0,1,FALSE
39,4,4,FALSE,FALSE,1,1,1,1,4,0,1,FALSE
48,4,4,FALSE,TRUE,5,1,1,1,4,0,1,FALSE
40,2,4,FALSE,TRUE,8,1,1,3,3,0,1,FALSE
38,4,4,FALSE,FALSE,1,1,0,1,4,0,1,FALSE
29,4,4,TRUE,FALSE,0,1,0,1,4,0,1,FALSE
24,4,4,TRUE,FALSE,0,1,0,2,2,0,1,FALSE
43,1,2,FALSE,TRUE,8,1,1,2,4,0,1,FALSE
31,3,4,FALSE,FALSE,2,1,1,1,4,0,1,FALSE
31,4,4,FALSE,FALSE,2,1,1,3,2,0,1,FALSE
26,2,4,TRUE,FALSE,0,1,0,1,2,0,1,FALSE
33,2,2,FALSE,FALSE,2,1,1,3,1,0,1,FALSE
24,2,3,FALSE,FALSE,1,1,1,3,3,0,1,FALSE
